city,year,weekofyear,total_cases
sj,2008,18,6
sj,2008,19,24
sj,2008,20,18
sj,2008,21,19
sj,2008,22,28
sj,2008,23,37
sj,2008,24,25
sj,2008,25,10
sj,2008,26,35
sj,2008,27,28
sj,2008,28,49
sj,2008,29,20
sj,2008,30,36
sj,2008,31,32
sj,2008,32,112
sj,2008,33,46
sj,2008,34,37
sj,2008,35,45
sj,2008,36,44
sj,2008,37,31
sj,2008,38,38
sj,2008,39,37
sj,2008,40,41
sj,2008,41,44
sj,2008,42,38
sj,2008,43,106
sj,2008,44,18
sj,2008,45,28
sj,2008,46,41
sj,2008,47,36
sj,2008,48,45
sj,2008,49,21
sj,2008,50,32
sj,2008,51,41
sj,2008,52,20
sj,2009,1,31
sj,2009,2,26
sj,2009,3,23
sj,2009,4,29
sj,2009,5,78
sj,2009,6,23
sj,2009,7,33
sj,2009,8,26
sj,2009,9,25
sj,2009,10,27
sj,2009,11,22
sj,2009,12,48
sj,2009,13,21
sj,2009,14,30
sj,2009,15,23
sj,2009,16,37
sj,2009,17,24
sj,2009,18,31
sj,2009,19,25
sj,2009,20,33
sj,2009,21,27
sj,2009,22,41
sj,2009,23,24
sj,2009,24,32
sj,2009,25,22
sj,2009,26,31
sj,2009,27,22
sj,2009,28,52
sj,2009,29,45
sj,2009,30,26
sj,2009,31,31
sj,2009,32,29
sj,2009,33,31
sj,2009,34,38
sj,2009,35,39
sj,2009,36,34
sj,2009,37,30
sj,2009,38,49
sj,2009,39,27
sj,2009,40,33
sj,2009,41,42
sj,2009,42,69
sj,2009,43,38
sj,2009,44,32
sj,2009,45,48
sj,2009,46,22
sj,2009,47,22
sj,2009,48,30
sj,2009,49,39
sj,2009,50,12
sj,2009,51,30
sj,2009,52,24
sj,2010,53,50
sj,2010,1,35
sj,2010,2,28
sj,2010,3,63
sj,2010,4,29
sj,2010,5,26
sj,2010,6,14
sj,2010,7,24
sj,2010,8,22
sj,2010,9,14
sj,2010,10,26
sj,2010,11,27
sj,2010,12,31
sj,2010,13,26
sj,2010,14,17
sj,2010,15,26
sj,2010,16,17
sj,2010,17,18
sj,2010,18,28
sj,2010,19,20
sj,2010,20,37
sj,2010,21,61
sj,2010,22,42
sj,2010,23,44
sj,2010,24,58
sj,2010,25,51
sj,2010,26,39
sj,2010,27,36
sj,2010,28,41
sj,2010,29,92
sj,2010,30,43
sj,2010,31,45
sj,2010,32,75
sj,2010,33,58
sj,2010,34,71
sj,2010,35,62
sj,2010,36,41
sj,2010,37,42
sj,2010,38,31
sj,2010,39,32
sj,2010,40,77
sj,2010,41,25
sj,2010,42,81
sj,2010,43,32
sj,2010,44,20
sj,2010,45,39
sj,2010,46,22
sj,2010,47,24
sj,2010,48,16
sj,2010,49,24
sj,2010,50,32
sj,2010,51,24
sj,2011,52,26
sj,2011,1,22
sj,2011,2,27
sj,2011,3,33
sj,2011,4,21
sj,2011,5,19
sj,2011,6,20
sj,2011,7,16
sj,2011,8,38
sj,2011,9,19
sj,2011,10,31
sj,2011,11,16
sj,2011,12,43
sj,2011,13,27
sj,2011,14,32
sj,2011,15,31
sj,2011,16,39
sj,2011,17,17
sj,2011,18,39
sj,2011,19,23
sj,2011,20,36
sj,2011,21,18
sj,2011,22,42
sj,2011,23,92
sj,2011,24,33
sj,2011,25,45
sj,2011,26,44
sj,2011,27,19
sj,2011,28,75
sj,2011,29,18
sj,2011,30,48
sj,2011,31,44
sj,2011,32,74
sj,2011,33,35
sj,2011,34,51
sj,2011,35,51
sj,2011,36,36
sj,2011,37,53
sj,2011,38,23
sj,2011,39,108
sj,2011,40,76
sj,2011,41,40
sj,2011,42,28
sj,2011,43,28
sj,2011,44,34
sj,2011,45,33
sj,2011,46,20
sj,2011,47,22
sj,2011,48,30
sj,2011,49,37
sj,2011,50,54
sj,2011,51,24
sj,2012,52,26
sj,2012,1,42
sj,2012,2,26
sj,2012,3,18
sj,2012,4,38
sj,2012,5,29
sj,2012,6,62
sj,2012,7,23
sj,2012,8,73
sj,2012,9,26
sj,2012,10,25
sj,2012,11,43
sj,2012,12,24
sj,2012,13,39
sj,2012,14,30
sj,2012,15,29
sj,2012,16,44
sj,2012,17,25
sj,2012,18,22
sj,2012,19,56
sj,2012,20,24
sj,2012,21,111
sj,2012,22,21
sj,2012,23,46
sj,2012,24,19
sj,2012,25,18
sj,2012,26,21
sj,2012,27,45
sj,2012,28,33
sj,2012,29,56
sj,2012,30,64
